Title,Price,Link,Mileage,Color,State,Gearbox,Year,Cylindrée,Brand,Model,Body_type,Fuel
SUZUKI DZIRE GL PREMIÈRE MAIN EN TRÈS BON ÉTAT,38500.0,https://www.tayara.tn/item/6828de6b571b925bf6c7fe91/Voitures/Bizerte/Zarzouna/SUZUKI_DZIRE_GL_PREMIRE_MAIN_EN_TRS_BON_TAT_/,86000.0,Gris,Avec kilométrage,Manuelle,2021.0,1.3L,Suzuki,Swift,Berline,Essence
polo sedan 1.4,38700.0,https://www.tayara.tn/item/6828dd98571b925bf6c7fe23/Voitures/Sfax/Sfax/polo_sedan_14_/,200000.0,Beige,Avec kilométrage,Manuelle,2017.0,1.4L,Volkswagen,Polo,Berline,Essence
seat leon,4.0,https://www.tayara.tn/item/6828dd3b571b925bf6c7fdf2/Voitures/Sousse/Khzema/seat_leon_/,163.0,Blanc,Nouveau,Manuelle,2018.0,1.2L,Seat,Leon,Compacte,Essence
Kia,46000.0,https://www.tayara.tn/item/6828dd1941532c94f15bba22/Voitures/Sfax/Route_El_Ain/Kia_/,150000.0,Blanc,Nouveau,Manuelle,2018.0,1.2L,Kia,Rio,Berline,Essence
matériel agricole,upon request,https://www.tayara.tn/item/6828dd1741532c94f15bba20/Engins%20Agricoles/Bizerte/Bizerte/matriel_agricole_/,,Autre,Autres,Autres,,,Autres,Autres,Autres,
407 1.6 HDI,25800.0,https://www.tayara.tn/item/6828dcc741532c94f15bb9e1/Voitures/Le_Kef/Kef_Ouest/407_16_HDI/,400.0,Gris,Avec kilométrage,Manuelle,2008.0,1.6L,Peugeot,407,Berline,Diesel
polo 8,44000.0,https://www.tayara.tn/item/6828db5a6238a0abfdd1c5f2/Voitures/Tunis/Menzah/polo_8_/,82000.0,Gris,Avec kilométrage,Manuelle,,<1.0L,Volkswagen,Polo,Compacte,Essence
???? ?????? 20500,20300.0,https://www.tayara.tn/item/6828db212c85743ce3a24b29/Voitures/La_Manouba/Douar_Hicher/_20500/,290.0,Gris,Avec kilométrage,Manuelle,2002.0,1.2L,Renault,Clio,Autres,Essence
"??4 roues range sport par 20""",4800.0,https://www.tayara.tn/item/6828dac841532c94f15bb84d/Voitures/Tunis/Tunis/4_roues_range_sport_par_20/,15000.0,Gris,Avec kilométrage,Automatique,2015.0,3.0L,Land Rover,Range Rover Sport,4 x 4,Essence
Citroën Berlingo b9 première main 77km tu182,upon request,https://www.tayara.tn/item/6828d91b41532c94f15bb740/Voitures/Ben_Arous/Autres_Villes/Citron_Berlingo_b9_premire_main_77km_tu182/,77.0,Noir,Nouveau,Manuelle,2015.0,1.6L,Citroen,Berlingo,Autres,Diesel
kia picanto,upon request,https://www.tayara.tn/item/6828d64752d04695c7aed645/Voitures/Sfax/Menzel_Chaker/kia_picanto_/,90.0,Gris,Avec kilométrage,Automatique,2020.0,1.4L,Kia,Picanto,Compacte,Essence
Hyundai i30,upon request,https://www.tayara.tn/item/6828d5e341532c94f15bb55f/Voitures/Monastir/Monastir/Hyundai_i30/,94000.0,Blanc,Avec kilométrage,Manuelle,2020.0,1.6L,Hyundai,I 30,Berline,Diesel
Kawasaki zx10r,25500.0,https://www.tayara.tn/item/6828d50352d04695c7aed5a7/Motos/Nabeul/Soliman/Kawasaki_zx10r/,23000.0,Noir,Avec kilométrage,Manuelle,2007.0,,Autres,Autres,Autres,
a vendre,39000.0,https://www.tayara.tn/item/6828d4706238a0abfdd1c1f9/Voitures/Monastir/Ksibet_El_Mdiouni/a_vendre/,176000.0,Gris,Nouveau,Manuelle,2017.0,1.2L,Kia,Rio,Berline,Essence
Ford fiesta Ghia,21800.0,https://www.tayara.tn/item/6828d46d41532c94f15bb4ac/Voitures/Ben_Arous/Ben_Arous/Ford_fiesta_Ghia/,252000.0,Gris,Avec kilométrage,Manuelle,2007.0,1.2L,Ford,Fiesta,Autres,Essence
a200 essence 50mkm seulement certifié kit amg + pach night full option Importé récemment,upon request,https://www.tayara.tn/item/6828d45a41532c94f15bb4a1/Voitures/Tunis/Lac_1/a200_essence_50mkm_seulement_certifi_kit_amg_pach_night_full_option_Import_rcemment_/,50000.0,Gris,Avec kilométrage,Automatique,2020.0,1.3L,Mercedes-Benz,Classe A,Compacte,Essence
tél 22214299,18500.0,https://www.tayara.tn/item/6828d3b46238a0abfdd1c185/Voitures/Monastir/Monastir/tl_22214299/,200000.0,Blanc,Avec kilométrage,Manuelle,2007.0,1.5L,Renault,Megane,Berline,Diesel
Peugeot 208,upon request,https://www.tayara.tn/item/6828d38541532c94f15bb42f/Voitures/Sousse/Sousse_Riadh/Peugeot_208/,136.0,Noir,Avec kilométrage,Manuelle,2015.0,1.2L,Peugeot,208,Compacte,Essence
poste voiture poinner,250.0,https://www.tayara.tn/item/6828d30841532c94f15bb3e6/Pi%C3%A8ces%20et%20Accessoires%20pour%20v%C3%A9hicules/Tunis/Le_Kram/poste_voiture_poinner_/,,Autre,Autres,Autres,,,Autres,Autres,Autres,
Picanto BVA,1111.0,https://www.tayara.tn/item/6828d2ed52d04695c7aed48e/Voitures/Ariana/Ariana_Essoughra/Picanto_BVA_/,100500.0,Noir,Avec kilométrage,Automatique,2021.0,1.2L,Kia,Picanto,Compacte,Essence
